Census,School,Category,Year,Students
01-Aug-13,Namadgi School,Gov,Year 1,73
01-Aug-13,Namadgi School,Gov,Year 2,63
01-Aug-13,Namadgi School,Gov,Year 3,45
01-Aug-13,Namadgi School,Gov,Year 4,49
01-Aug-13,Namadgi School,Gov,Year 5,42
01-Aug-13,Namadgi School,Gov,Year 6,46
01-Aug-13,Namadgi School,Gov,Year 7,62
01-Aug-13,Namadgi School,Gov,Year 8,61
01-Aug-13,Namadgi School,Gov,Year 9,48
01-Aug-13,Narrabundah College,Gov,Year 11,500
01-Aug-13,Narrabundah College,Gov,Year 12,428
01-Aug-13,Narrabundah Early Childhood School,Gov,Kindergarten,20
01-Aug-13,Narrabundah Early Childhood School,Gov,Preschool,64
01-Aug-13,Narrabundah Early Childhood School,Gov,Year 1,22
01-Aug-13,Narrabundah Early Childhood School,Gov,Year 2,20
01-Aug-13,Neville Bonner Primary School,Gov,Kindergarten,45
01-Aug-13,Neville Bonner Primary School,Gov,Preschool,93
01-Aug-13,Neville Bonner Primary School,Gov,Year 1,28
01-Aug-13,Neville Bonner Primary School,Gov,Year 2,24
01-Aug-13,Neville Bonner Primary School,Gov,Year 3,20
01-Aug-13,Neville Bonner Primary School,Gov,Year 4,12
01-Aug-13,Neville Bonner Primary School,Gov,Year 5,17
01-Aug-13,Neville Bonner Primary School,Gov,Year 6,4
01-Aug-13,Ngunnawal Primary School,Gov,Kindergarten,79
01-Aug-13,Ngunnawal Primary School,Gov,Preschool,113
01-Aug-13,Ngunnawal Primary School,Gov,Year 1,83
01-Aug-13,Ngunnawal Primary School,Gov,Year 2,88
01-Aug-13,Ngunnawal Primary School,Gov,Year 3,65
01-Aug-13,Ngunnawal Primary School,Gov,Year 4,74
01-Aug-13,Ngunnawal Primary School,Gov,Year 5,57
01-Aug-13,Ngunnawal Primary School,Gov,Year 6,38
01-Aug-13,North Ainslie Primary School,Gov,Kindergarten,68
01-Aug-13,North Ainslie Primary School,Gov,Preschool,85
01-Aug-13,North Ainslie Primary School,Gov,Year 1,83
01-Aug-13,North Ainslie Primary School,Gov,Year 2,70
01-Aug-13,North Ainslie Primary School,Gov,Year 3,62
01-Aug-13,North Ainslie Primary School,Gov,Year 4,46
01-Aug-13,North Ainslie Primary School,Gov,Year 5,44
01-Aug-13,North Ainslie Primary School,Gov,Year 6,41
01-Aug-13,O'Connor Cooperative School,Gov,Kindergarten,19
01-Aug-13,O'Connor Cooperative School,Gov,Preschool,20
01-Aug-13,O'Connor Cooperative School,Gov,Year 1,18
01-Aug-13,O'Connor Cooperative School,Gov,Year 2,18
01-Aug-13,Palmerston District Primary School,Gov,Kindergarten,68
01-Aug-13,Palmerston District Primary School,Gov,Preschool,81
01-Aug-13,Palmerston District Primary School,Gov,Year 1,64
01-Aug-13,Palmerston District Primary School,Gov,Year 2,47
01-Aug-13,Palmerston District Primary School,Gov,Year 3,59
01-Aug-13,Palmerston District Primary School,Gov,Year 4,43
01-Aug-13,Palmerston District Primary School,Gov,Year 5,40
01-Aug-13,Palmerston District Primary School,Gov,Year 6,34
01-Aug-13,Red Hill Primary School,Gov,Kindergarten,65
01-Aug-13,Red Hill Primary School,Gov,Preschool,81
01-Aug-13,Red Hill Primary School,Gov,Year 1,88
01-Aug-13,Red Hill Primary School,Gov,Year 2,90
01-Aug-13,Red Hill Primary School,Gov,Year 3,82
01-Aug-13,Red Hill Primary School,Gov,Year 4,81
01-Aug-13,Red Hill Primary School,Gov,Year 5,65
01-Aug-13,Red Hill Primary School,Gov,Year 6,81
01-Aug-13,Richardson Primary School,Gov,Kindergarten,32
01-Aug-13,Richardson Primary School,Gov,Preschool,34
01-Aug-13,Richardson Primary School,Gov,Year 1,21
01-Aug-13,Richardson Primary School,Gov,Year 2,29
01-Aug-13,Richardson Primary School,Gov,Year 3,31
01-Aug-13,Richardson Primary School,Gov,Year 4,17
01-Aug-13,Richardson Primary School,Gov,Year 5,24
01-Aug-13,Richardson Primary School,Gov,Year 6,19
01-Aug-13,Southern Cross Early Childhood School,Gov,Kindergarten,38
01-Aug-13,Southern Cross Early Childhood School,Gov,Preschool,83
01-Aug-13,Southern Cross Early Childhood School,Gov,Year 1,45
01-Aug-13,Southern Cross Early Childhood School,Gov,Year 2,23
01-Aug-13,Taylor Primary School,Gov,Kindergarten,21
01-Aug-13,Taylor Primary School,Gov,Preschool,30
01-Aug-13,Taylor Primary School,Gov,Year 1,24
01-Aug-13,Taylor Primary School,Gov,Year 2,22
01-Aug-13,Taylor Primary School,Gov,Year 3,21
01-Aug-13,Taylor Primary School,Gov,Year 4,26
01-Aug-13,Taylor Primary School,Gov,Year 5,35
01-Aug-13,Taylor Primary School,Gov,Year 6,10
01-Aug-13,Telopea Park School,Gov,Kindergarten,64
01-Aug-13,Telopea Park School,Gov,Year 1,66
01-Aug-13,Telopea Park School,Gov,Year 10,180
01-Aug-13,Telopea Park School,Gov,Year 2,69
01-Aug-13,Telopea Park School,Gov,Year 3,49
01-Aug-13,Telopea Park School,Gov,Year 4,57
01-Aug-13,Telopea Park School,Gov,Year 5,49
01-Aug-13,Telopea Park School,Gov,Year 6,60
01-Aug-13,Telopea Park School,Gov,Year 7,193
01-Aug-13,Telopea Park School,Gov,Year 8,201
01-Aug-13,Telopea Park School,Gov,Year 9,189
01-Aug-13,Theodore Primary School,Gov,Kindergarten,39
01-Aug-13,Theodore Primary School,Gov,Preschool,45
01-Aug-13,Theodore Primary School,Gov,Year 1,44
01-Aug-13,Theodore Primary School,Gov,Year 2,32
01-Aug-13,Theodore Primary School,Gov,Year 3,39
01-Aug-13,Theodore Primary School,Gov,Year 4,37
01-Aug-13,Theodore Primary School,Gov,Year 5,33
01-Aug-13,Theodore Primary School,Gov,Year 6,35
01-Aug-13,Torrens Primary School,Gov,Kindergarten,63
01-Aug-13,Torrens Primary School,Gov,Preschool,91
01-Aug-13,Torrens Primary School,Gov,Year 1,62
01-Aug-13,Torrens Primary School,Gov,Year 2,59
01-Aug-13,Torrens Primary School,Gov,Year 3,61
01-Aug-13,Torrens Primary School,Gov,Year 4,60
01-Aug-13,Torrens Primary School,Gov,Year 5,51
01-Aug-13,Torrens Primary School,Gov,Year 6,58
01-Aug-13,Turner School,Gov,Kindergarten,79
01-Aug-13,Turner School,Gov,Preschool,73
01-Aug-13,Turner School,Gov,Year 1,51
01-Aug-13,Turner School,Gov,Year 2,74
01-Aug-13,Turner School,Gov,Year 3,65
01-Aug-13,Turner School,Gov,Year 4,75
01-Aug-13,Turner School,Gov,Year 5,68
01-Aug-13,Turner School,Gov,Year 6,78
01-Aug-13,University of Canberra High School Kaleen,Gov,Year 10,46
01-Aug-13,University of Canberra High School Kaleen,Gov,Year 7,49
01-Aug-13,University of Canberra High School Kaleen,Gov,Year 8,44
01-Aug-13,University of Canberra High School Kaleen,Gov,Year 9,64
01-Aug-13,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 10,14
01-Aug-13,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 11,270
01-Aug-13,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 12,187
01-Aug-13,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 9,4
01-Aug-13,Wanniassa Hills Primary School,Gov,Kindergarten,58
01-Aug-13,Wanniassa Hills Primary School,Gov,Preschool,81
01-Aug-13,Wanniassa Hills Primary School,Gov,Year 1,38
01-Aug-13,Wanniassa Hills Primary School,Gov,Year 2,64
01-Aug-13,Wanniassa Hills Primary School,Gov,Year 3,50
01-Aug-13,Wanniassa Hills Primary School,Gov,Year 4,52
01-Aug-13,Wanniassa Hills Primary School,Gov,Year 5,44
01-Aug-13,Wanniassa Hills Primary School,Gov,Year 6,36
01-Aug-13,Wanniassa School,Gov,Kindergarten,37
01-Aug-13,Wanniassa School,Gov,Preschool,69
01-Aug-13,Wanniassa School,Gov,Year 1,28
01-Aug-13,Wanniassa School,Gov,Year 10,74
01-Aug-13,Wanniassa School,Gov,Year 2,28
01-Aug-13,Wanniassa School,Gov,Year 3,31
01-Aug-13,Wanniassa School,Gov,Year 4,26
01-Aug-13,Wanniassa School,Gov,Year 5,32
01-Aug-13,Wanniassa School,Gov,Year 6,27
01-Aug-13,Wanniassa School,Gov,Year 7,54
01-Aug-13,Wanniassa School,Gov,Year 8,49
01-Aug-13,Wanniassa School,Gov,Year 9,51
01-Aug-13,Weetangera Primary School,Gov,Kindergarten,61
01-Aug-13,Weetangera Primary School,Gov,Preschool,58
01-Aug-13,Weetangera Primary School,Gov,Year 1,56
01-Aug-13,Weetangera Primary School,Gov,Year 2,67
01-Aug-13,Weetangera Primary School,Gov,Year 3,53
01-Aug-13,Weetangera Primary School,Gov,Year 4,69
01-Aug-13,Weetangera Primary School,Gov,Year 5,48
01-Aug-13,Weetangera Primary School,Gov,Year 6,48
01-Aug-13,The Woden School,Gov,Year 10,16
01-Aug-13,The Woden School,Gov,Year 11,10
01-Aug-13,The Woden School,Gov,Year 12,9
01-Aug-13,The Woden School,Gov,Year 7,24
01-Aug-13,The Woden School,Gov,Year 8,17
01-Aug-13,The Woden School,Gov,Year 9,31
01-Aug-13,Yarralumla Primary School,Gov,Kindergarten,59
01-Aug-13,Yarralumla Primary School,Gov,Preschool,82
01-Aug-13,Yarralumla Primary School,Gov,Year 1,33
01-Aug-13,Yarralumla Primary School,Gov,Year 2,38
01-Aug-13,Yarralumla Primary School,Gov,Year 3,33
01-Aug-13,Yarralumla Primary School,Gov,Year 4,35
01-Aug-13,Yarralumla Primary School,Gov,Year 5,24
01-Aug-13,Yarralumla Primary School,Gov,Year 6,19
01-Feb-13,Ainslie School,Gov,Kindergarten,53
01-Feb-13,Ainslie School,Gov,Preschool,54
01-Feb-13,Ainslie School,Gov,Year 1,49
01-Feb-13,Ainslie School,Gov,Year 2,48
01-Feb-13,Ainslie School,Gov,Year 3,59
01-Feb-13,Ainslie School,Gov,Year 4,50
01-Feb-13,Ainslie School,Gov,Year 5,44
01-Feb-13,Ainslie School,Gov,Year 6,67
01-Feb-13,Alfred Deakin High School,Gov,Year 10,191
01-Feb-13,Alfred Deakin High School,Gov,Year 7,199
01-Feb-13,Alfred Deakin High School,Gov,Year 8,194
01-Feb-13,Alfred Deakin High School,Gov,Year 9,191
01-Feb-13,Amaroo School,Gov,Kindergarten,121
01-Feb-13,Amaroo School,Gov,Preschool,130
01-Feb-13,Amaroo School,Gov,Year 1,152
01-Feb-13,Amaroo School,Gov,Year 10,146
01-Feb-13,Amaroo School,Gov,Year 2,104
01-Feb-13,Amaroo School,Gov,Year 3,137
01-Feb-13,Amaroo School,Gov,Year 4,142
01-Feb-13,Amaroo School,Gov,Year 5,139
01-Feb-13,Amaroo School,Gov,Year 6,146
01-Feb-13,Amaroo School,Gov,Year 7,125
01-Feb-13,Amaroo School,Gov,Year 8,145
01-Feb-13,Amaroo School,Gov,Year 9,119
01-Feb-13,Aranda Primary School,Gov,Kindergarten,63
01-Feb-13,Aranda Primary School,Gov,Preschool,80
01-Feb-13,Aranda Primary School,Gov,Year 1,82
01-Feb-13,Aranda Primary School,Gov,Year 2,70
01-Feb-13,Aranda Primary School,Gov,Year 3,66
01-Feb-13,Aranda Primary School,Gov,Year 4,67
01-Feb-13,Aranda Primary School,Gov,Year 5,54
01-Feb-13,Aranda Primary School,Gov,Year 6,51
01-Feb-13,Arawang Primary School,Gov,Kindergarten,59
01-Feb-13,Arawang Primary School,Gov,Preschool,92
01-Feb-13,Arawang Primary School,Gov,Year 1,44
01-Feb-13,Arawang Primary School,Gov,Year 2,56
01-Feb-13,Arawang Primary School,Gov,Year 3,53
01-Feb-13,Arawang Primary School,Gov,Year 4,52
01-Feb-13,Arawang Primary School,Gov,Year 5,42
01-Feb-13,Arawang Primary School,Gov,Year 6,39
01-Feb-13,Belconnen High School,Gov,Year 10,103
01-Feb-13,Belconnen High School,Gov,Year 7,65
01-Feb-13,Belconnen High School,Gov,Year 8,102
01-Feb-13,Belconnen High School,Gov,Year 9,114
01-Feb-13,Black Mountain School,Gov,Year 10,12
01-Feb-13,Black Mountain School,Gov,Year 11,17
01-Feb-13,Black Mountain School,Gov,Year 12,37
01-Feb-13,Black Mountain School,Gov,Year 7,13
01-Feb-13,Black Mountain School,Gov,Year 8,20
01-Feb-13,Black Mountain School,Gov,Year 9,7
01-Feb-13,Blue Gum Community School,Non Gov,Kindergarten,10
01-Feb-13,Blue Gum Community School,Non Gov,Preschool,75
01-Feb-13,Blue Gum Community School,Non Gov,Year 1,12
01-Feb-13,Blue Gum Community School,Non Gov,Year 10,6
01-Feb-13,Blue Gum Community School,Non Gov,Year 2,14
01-Feb-13,Blue Gum Community School,Non Gov,Year 3,5
01-Feb-13,Blue Gum Community School,Non Gov,Year 4,13
01-Feb-13,Blue Gum Community School,Non Gov,Year 5,9
01-Feb-13,Blue Gum Community School,Non Gov,Year 6,8
01-Feb-13,Blue Gum Community School,Non Gov,Year 7,4
01-Feb-13,Blue Gum Community School,Non Gov,Year 8,7
01-Feb-13,Blue Gum Community School,Non Gov,Year 9,3
01-Feb-13,Bonython Primary School,Gov,Kindergarten,41
01-Feb-13,Bonython Primary School,Gov,Preschool,36
01-Feb-13,Bonython Primary School,Gov,Year 1,37
01-Feb-13,Bonython Primary School,Gov,Year 2,30
01-Feb-13,Bonython Primary School,Gov,Year 3,47
01-Feb-13,Bonython Primary School,Gov,Year 4,41
01-Feb-13,Bonython Primary School,Gov,Year 5,49
01-Feb-13,Bonython Primary School,Gov,Year 6,44
01-Feb-13,Brindabella Christian College,Non Gov,Kindergarten,40
01-Feb-13,Brindabella Christian College,Non Gov,Preschool,46
01-Feb-13,Brindabella Christian College,Non Gov,Year 1,50
01-Feb-13,Brindabella Christian College,Non Gov,Year 10,41
01-Feb-13,Brindabella Christian College,Non Gov,Year 11,25
01-Feb-13,Brindabella Christian College,Non Gov,Year 12,22
01-Feb-13,Brindabella Christian College,Non Gov,Year 2,45
01-Feb-13,Brindabella Christian College,Non Gov,Year 3,52
01-Feb-13,Brindabella Christian College,Non Gov,Year 4,50
01-Feb-13,Brindabella Christian College,Non Gov,Year 5,48
01-Feb-13,Brindabella Christian College,Non Gov,Year 6,52
01-Feb-13,Brindabella Christian College,Non Gov,Year 7,56
01-Feb-13,Brindabella Christian College,Non Gov,Year 8,55
01-Feb-13,Brindabella Christian College,Non Gov,Year 9,48
01-Feb-13,Burgmann Anglican School,Non Gov,Kindergarten,100
01-Feb-13,Burgmann Anglican School,Non Gov,Preschool,87
01-Feb-13,Burgmann Anglican School,Non Gov,Year 1,104
01-Feb-13,Burgmann Anglican School,Non Gov,Year 10,126
01-Feb-13,Burgmann Anglican School,Non Gov,Year 11,103
01-Feb-13,Burgmann Anglican School,Non Gov,Year 12,101
01-Feb-13,Burgmann Anglican School,Non Gov,Year 2,112
01-Feb-13,Burgmann Anglican School,Non Gov,Year 3,112
01-Feb-13,Burgmann Anglican School,Non Gov,Year 4,112
01-Feb-13,Burgmann Anglican School,Non Gov,Year 5,112
01-Feb-13,Burgmann Anglican School,Non Gov,Year 6,113
01-Feb-13,Burgmann Anglican School,Non Gov,Year 7,112
01-Feb-13,Burgmann Anglican School,Non Gov,Year 8,111
01-Feb-13,Burgmann Anglican School,Non Gov,Year 9,124
01-Feb-13,Calwell High School,Gov,Year 10,117
01-Feb-13,Calwell High School,Gov,Year 7,92
01-Feb-13,Calwell High School,Gov,Year 8,97
01-Feb-13,Calwell High School,Gov,Year 9,91
01-Feb-13,Calwell Primary School,Gov,Kindergarten,33
01-Feb-13,Calwell Primary School,Gov,Preschool,54
01-Feb-13,Calwell Primary School,Gov,Year 1,38
01-Feb-13,Calwell Primary School,Gov,Year 2,31
01-Feb-13,Calwell Primary School,Gov,Year 3,33
01-Feb-13,Calwell Primary School,Gov,Year 4,41
01-Feb-13,Calwell Primary School,Gov,Year 5,38
01-Feb-13,Calwell Primary School,Gov,Year 6,42
01-Feb-13,Campbell High School,Gov,Year 10,166
01-Feb-13,Campbell High School,Gov,Year 7,187
01-Feb-13,Campbell High School,Gov,Year 8,188
01-Feb-13,Campbell High School,Gov,Year 9,177
01-Feb-13,Campbell Primary School,Gov,Kindergarten,39
01-Feb-13,Campbell Primary School,Gov,Preschool,63
01-Feb-13,Campbell Primary School,Gov,Year 1,43
01-Feb-13,Campbell Primary School,Gov,Year 2,46
01-Feb-13,Campbell Primary School,Gov,Year 3,29
01-Feb-13,Campbell Primary School,Gov,Year 4,33
01-Feb-13,Campbell Primary School,Gov,Year 5,32
01-Feb-13,Campbell Primary School,Gov,Year 6,30
01-Feb-13,Canberra Christian School,Non Gov,Kindergarten,6
01-Feb-13,Canberra Christian School,Non Gov,Preschool,7
01-Feb-13,Canberra Christian School,Non Gov,Year 1,9
01-Feb-13,Canberra Christian School,Non Gov,Year 2,8
01-Feb-13,Canberra Christian School,Non Gov,Year 3,4
01-Feb-13,Canberra Christian School,Non Gov,Year 4,3
01-Feb-13,Canberra Christian School,Non Gov,Year 6,2
01-Feb-13,The Canberra College,Gov,Year 11,556
01-Feb-13,The Canberra College,Gov,Year 12,414
01-Feb-13,Canberra Girls Grammar School,Non Gov,Kindergarten,65
01-Feb-13,Canberra Girls Grammar School,Non Gov,Preschool,71
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 1,63
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 10,149
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 11,157
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 12,147
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 2,62
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 3,77
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 4,79
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 5,100
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 6,75
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 7,158
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 8,147
01-Feb-13,Canberra Girls Grammar School,Non Gov,Year 9,174
01-Feb-13,Canberra Grammar School,Non Gov,Kindergarten,77
01-Feb-13,Canberra Grammar School,Non Gov,Preschool,127
01-Feb-13,Canberra Grammar School,Non Gov,Year 1,72
01-Feb-13,Canberra Grammar School,Non Gov,Year 10,151
01-Feb-13,Canberra Grammar School,Non Gov,Year 11,179
01-Feb-13,Canberra Grammar School,Non Gov,Year 12,137
01-Feb-13,Canberra Grammar School,Non Gov,Year 2,74
01-Feb-13,Canberra Grammar School,Non Gov,Year 3,82
01-Feb-13,Canberra Grammar School,Non Gov,Year 4,77
01-Feb-13,Canberra Grammar School,Non Gov,Year 5,95
01-Feb-13,Canberra Grammar School,Non Gov,Year 6,94
01-Feb-13,Canberra Grammar School,Non Gov,Year 7,157
01-Feb-13,Canberra Grammar School,Non Gov,Year 8,157
01-Feb-13,Canberra Grammar School,Non Gov,Year 9,168
01-Feb-13,Canberra High School,Gov,Year 10,157
01-Feb-13,Canberra High School,Gov,Year 7,230
01-Feb-13,Canberra High School,Gov,Year 8,188
01-Feb-13,Canberra High School,Gov,Year 9,178
01-Feb-13,Canberra Montessori School,Non Gov,Kindergarten,30
01-Feb-13,Canberra Montessori School,Non Gov,Preschool,68
01-Feb-13,Canberra Montessori School,Non Gov,Year 1,19
01-Feb-13,Canberra Montessori School,Non Gov,Year 2,25
01-Feb-13,Canberra Montessori School,Non Gov,Year 3,16
01-Feb-13,Canberra Montessori School,Non Gov,Year 4,9
01-Feb-13,Canberra Montessori School,Non Gov,Year 5,6
01-Feb-13,Canberra Montessori School,Non Gov,Year 6,6
01-Feb-13,Caroline Chisholm School,Gov,Kindergarten,36
01-Feb-13,Caroline Chisholm School,Gov,Preschool,54
01-Feb-13,Caroline Chisholm School,Gov,Year 1,42
01-Feb-13,Caroline Chisholm School,Gov,Year 10,59
01-Feb-13,Caroline Chisholm School,Gov,Year 2,27
01-Feb-13,Caroline Chisholm School,Gov,Year 3,31
01-Feb-13,Caroline Chisholm School,Gov,Year 4,24
01-Feb-13,Caroline Chisholm School,Gov,Year 5,31
01-Feb-13,Caroline Chisholm School,Gov,Year 6,31
01-Feb-13,Caroline Chisholm School,Gov,Year 7,74
01-Feb-13,Caroline Chisholm School,Gov,Year 8,73
01-Feb-13,Caroline Chisholm School,Gov,Year 9,70
01-Feb-13,Chapman Primary School,Gov,Kindergarten,84
01-Feb-13,Chapman Primary School,Gov,Preschool,82
01-Feb-13,Chapman Primary School,Gov,Year 1,74
01-Feb-13,Chapman Primary School,Gov,Year 2,79
01-Feb-13,Chapman Primary School,Gov,Year 3,81
01-Feb-13,Chapman Primary School,Gov,Year 4,59
01-Feb-13,Chapman Primary School,Gov,Year 5,68
01-Feb-13,Chapman Primary School,Gov,Year 6,56
01-Feb-13,Charles Conder Primary School,Gov,Kindergarten,36
01-Feb-13,Charles Conder Primary School,Gov,Preschool,91
01-Feb-13,Charles Conder Primary School,Gov,Year 1,37
01-Feb-13,Charles Conder Primary School,Gov,Year 2,32
01-Feb-13,Charles Conder Primary School,Gov,Year 3,41
01-Feb-13,Charles Conder Primary School,Gov,Year 4,44
01-Feb-13,Charles Conder Primary School,Gov,Year 5,25
01-Feb-13,Charles Conder Primary School,Gov,Year 6,50
01-Feb-13,Charnwood-Dunlop School,Gov,Kindergarten,69
01-Feb-13,Charnwood-Dunlop School,Gov,Preschool,90
01-Feb-13,Charnwood-Dunlop School,Gov,Year 1,51
01-Feb-13,Charnwood-Dunlop School,Gov,Year 2,39
01-Feb-13,Charnwood-Dunlop School,Gov,Year 3,34
01-Feb-13,Charnwood-Dunlop School,Gov,Year 4,44
01-Feb-13,Charnwood-Dunlop School,Gov,Year 5,42
01-Feb-13,Charnwood-Dunlop School,Gov,Year 6,35
01-Feb-13,Communities@Work Galilee School,Non Gov,Year 10,10
01-Feb-13,Communities@Work Galilee School,Non Gov,Year 7,1
01-Feb-13,Communities@Work Galilee School,Non Gov,Year 8,2
01-Feb-13,Communities@Work Galilee School,Non Gov,Year 9,4
01-Feb-13,Covenant Christian School,Non Gov,Kindergarten,15
01-Feb-13,Covenant Christian School,Non Gov,Year 1,7
01-Feb-13,Covenant Christian School,Non Gov,Year 10,8
01-Feb-13,Covenant Christian School,Non Gov,Year 2,16
01-Feb-13,Covenant Christian School,Non Gov,Year 3,9
01-Feb-13,Covenant Christian School,Non Gov,Year 4,13
01-Feb-13,Covenant Christian School,Non Gov,Year 5,12
01-Feb-13,Covenant Christian School,Non Gov,Year 6,24
01-Feb-13,Covenant Christian School,Non Gov,Year 7,7
01-Feb-13,Covenant Christian School,Non Gov,Year 8,19
01-Feb-13,Covenant Christian School,Non Gov,Year 9,15
01-Feb-13,Cranleigh School,Gov,Kindergarten,8
01-Feb-13,Cranleigh School,Gov,Preschool,55
01-Feb-13,Cranleigh School,Gov,Year 1,8
01-Feb-13,Cranleigh School,Gov,Year 2,8
01-Feb-13,Cranleigh School,Gov,Year 3,6
01-Feb-13,Cranleigh School,Gov,Year 4,5
01-Feb-13,Cranleigh School,Gov,Year 5,7
01-Feb-13,Cranleigh School,Gov,Year 6,11
01-Feb-13,Curtin Primary School,Gov,Kindergarten,58
01-Feb-13,Curtin Primary School,Gov,Preschool,78
01-Feb-13,Curtin Primary School,Gov,Year 1,56
01-Feb-13,Curtin Primary School,Gov,Year 2,58
01-Feb-13,Curtin Primary School,Gov,Year 3,72
01-Feb-13,Curtin Primary School,Gov,Year 4,55
01-Feb-13,Curtin Primary School,Gov,Year 5,64
01-Feb-13,Curtin Primary School,Gov,Year 6,61
01-Feb-13,Daramalan College,Non Gov,Year 10,248
01-Feb-13,Daramalan College,Non Gov,Year 11,222
01-Feb-13,Daramalan College,Non Gov,Year 12,229
01-Feb-13,Daramalan College,Non Gov,Year 7,254
01-Feb-13,Daramalan College,Non Gov,Year 8,253
01-Feb-13,Daramalan College,Non Gov,Year 9,254
01-Feb-13,Dickson College,Gov,Year 10,20
01-Feb-13,Dickson College,Gov,Year 11,430
01-Feb-13,Dickson College,Gov,Year 12,368
01-Feb-13,Dickson College,Gov,Year 7,10
01-Feb-13,Dickson College,Gov,Year 8,12
01-Feb-13,Dickson College,Gov,Year 9,8
01-Feb-13,Duffy Primary School,Gov,Kindergarten,57
01-Feb-13,Duffy Primary School,Gov,Preschool,79
01-Feb-13,Duffy Primary School,Gov,Year 1,61
01-Feb-13,Duffy Primary School,Gov,Year 2,43
01-Feb-13,Duffy Primary School,Gov,Year 3,43
01-Feb-13,Duffy Primary School,Gov,Year 4,38
01-Feb-13,Duffy Primary School,Gov,Year 5,29
01-Feb-13,Duffy Primary School,Gov,Year 6,33
01-Feb-13,Emmaus Christian School,Non Gov,Kindergarten,24
01-Feb-13,Emmaus Christian School,Non Gov,Preschool,24
01-Feb-13,Emmaus Christian School,Non Gov,Year 1,26
01-Feb-13,Emmaus Christian School,Non Gov,Year 10,17
01-Feb-13,Emmaus Christian School,Non Gov,Year 2,21
01-Feb-13,Emmaus Christian School,Non Gov,Year 3,25
01-Feb-13,Emmaus Christian School,Non Gov,Year 4,30
01-Feb-13,Emmaus Christian School,Non Gov,Year 5,27
01-Feb-13,Emmaus Christian School,Non Gov,Year 6,32
01-Feb-13,Emmaus Christian School,Non Gov,Year 7,34
01-Feb-13,Emmaus Christian School,Non Gov,Year 8,32
01-Feb-13,Emmaus Christian School,Non Gov,Year 9,24
01-Feb-13,Erindale College,Gov,Year 10,28
01-Feb-13,Erindale College,Gov,Year 11,266
01-Feb-13,Erindale College,Gov,Year 12,264
01-Feb-13,Evatt Primary School,Gov,Kindergarten,37
01-Feb-13,Evatt Primary School,Gov,Preschool,38
01-Feb-13,Evatt Primary School,Gov,Year 1,41
01-Feb-13,Evatt Primary School,Gov,Year 2,49
01-Feb-13,Evatt Primary School,Gov,Year 3,37
01-Feb-13,Evatt Primary School,Gov,Year 4,35
01-Feb-13,Evatt Primary School,Gov,Year 5,36
01-Feb-13,Evatt Primary School,Gov,Year 6,47
01-Feb-13,Fadden Primary School,Gov,Kindergarten,48
01-Feb-13,Fadden Primary School,Gov,Preschool,44
01-Feb-13,Fadden Primary School,Gov,Year 1,59
01-Feb-13,Fadden Primary School,Gov,Year 2,46
01-Feb-13,Fadden Primary School,Gov,Year 3,43
01-Feb-13,Fadden Primary School,Gov,Year 4,41
01-Feb-13,Fadden Primary School,Gov,Year 5,34
01-Feb-13,Fadden Primary School,Gov,Year 6,29
01-Feb-13,Farrer Primary School,Gov,Kindergarten,38
01-Feb-13,Farrer Primary School,Gov,Preschool,50
01-Feb-13,Farrer Primary School,Gov,Year 1,45
01-Feb-13,Farrer Primary School,Gov,Year 2,49
01-Feb-13,Farrer Primary School,Gov,Year 3,37
01-Feb-13,Farrer Primary School,Gov,Year 4,41
01-Feb-13,Farrer Primary School,Gov,Year 5,41
01-Feb-13,Farrer Primary School,Gov,Year 6,46
01-Feb-13,Florey Primary School,Gov,Kindergarten,64
01-Feb-13,Florey Primary School,Gov,Preschool,74
01-Feb-13,Florey Primary School,Gov,Year 1,64
01-Feb-13,Florey Primary School,Gov,Year 2,60
01-Feb-13,Florey Primary School,Gov,Year 3,59
01-Feb-13,Florey Primary School,Gov,Year 4,48
01-Feb-13,Florey Primary School,Gov,Year 5,44
01-Feb-13,Florey Primary School,Gov,Year 6,33
01-Feb-13,Forrest Primary School,Gov,Kindergarten,56
01-Feb-13,Forrest Primary School,Gov,Preschool,44
01-Feb-13,Forrest Primary School,Gov,Year 1,56
01-Feb-13,Forrest Primary School,Gov,Year 2,57
01-Feb-13,Forrest Primary School,Gov,Year 3,80
01-Feb-13,Forrest Primary School,Gov,Year 4,57
01-Feb-13,Forrest Primary School,Gov,Year 5,64
01-Feb-13,Forrest Primary School,Gov,Year 6,68
